module	name	kind	parent_if_visible	line	file
Board.Model.Item.BaseItemComponent	BaseItemComponent	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Item/BaseItemComponent.lua
Board.Model.Item.ItemBattery	ItemBattery	prototype	BaseItemComponent	1	code/Lua/decompiled/Board/Model/Item/ItemBattery.lua
Board.Model.Item.ItemBattery	ItemBatteryEventType	table_or_enum_candidate		3	code/Lua/decompiled/Board/Model/Item/ItemBattery.lua
Board.Model.Item.ItemBroom	ItemBroom	prototype	BaseItemComponent	1	code/Lua/decompiled/Board/Model/Item/ItemBroom.lua
Board.Model.Item.ItemBubble	ItemBubble	prototype	BaseItemComponent	1	code/Lua/decompiled/Board/Model/Item/ItemBubble.lua
Board.Model.Item.ItemCharge	ItemCharge	prototype	BaseItemComponent	1	code/Lua/decompiled/Board/Model/Item/ItemCharge.lua
Board.Model.Item.ItemCharge	ItemChargeEventType	table_or_enum_candidate		3	code/Lua/decompiled/Board/Model/Item/ItemCharge.lua
Board.Model.Item.ItemCharge	ItemChargeState	table_or_enum_candidate		4	code/Lua/decompiled/Board/Model/Item/ItemCharge.lua
Board.Model.Item.ItemCharge	ChargeConfig	table_or_enum_candidate		5	code/Lua/decompiled/Board/Model/Item/ItemCharge.lua
Board.Model.Item.ItemChoose	ItemChoose	prototype	BaseItemComponent	1	code/Lua/decompiled/Board/Model/Item/ItemChoose.lua
Board.Model.Item.ItemCobweb	ItemCobweb	prototype	BaseItemComponent	1	code/Lua/decompiled/Board/Model/Item/ItemCobweb.lua
Board.Model.Item.ItemCollectable	ItemCollectable	prototype	BaseItemComponent	1	code/Lua/decompiled/Board/Model/Item/ItemCollectable.lua
Board.Model.Item.ItemDefinition	ItemType	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ItemRewardBoxType	table_or_enum_candidate		74	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ItemEnergyBoxType	table_or_enum_candidate		85	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ToolCode	table_or_enum_candidate		90	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	AdaptiveTool	table_or_enum_candidate		96	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ItemCodePrefix	table_or_enum_candidate		103	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ItemInnerCodeStartIndex	table_or_enum_candidate		146	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	PaperBoxSprite	table_or_enum_candidate		155	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ItemChain	table_or_enum_candidate		161	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ItemNameDefinition	prototype		206	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ItemChargeImageConfig	table_or_enum_candidate		232	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ItemLotionCollectNum	table_or_enum_candidate		298	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	EItemMode	table_or_enum_candidate		305	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
Board.Model.Item.ItemDefinition	ItemDailyProgressCode	table_or_enum_candidate		309	code/Lua/decompiled/Board/Model/Item/ItemDefinition.lua
