caller_rva,caller_type,caller_signature,caller_native_file,ghidra_call_target,callee_rva,callee_name_candidates,callee_alias_count,callee_selected_type,callee_selected_signature,callee_native_status,call_occurrences_in_pseudocode
0x322A648,SummerWatermelonMergeBoard1,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/322a648.c,0x323CDE4,0x322CDE4,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyFourConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,1
0x322A648,SummerWatermelonMergeBoard1,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/322a648.c,0x323E1F0,0x322E1F0,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_UnCollectRewards,1,SummerWatermelonModel,"public StorageDictionary<int, int> get_UnCollectRewards() { }",decompiled_rebased_without_autoanalysis,4
0x322A73C,SummerWatermelonModel,public void OnUseItem(int id) { },code/Ghidra_native_pseudocode/322a73c.c,0x29A6FA8,0x2996FA8,GameConfigManager$$GetItemConfig,1,GameConfigManager,public TableMergeItem GetItemConfig(int id) { },decompiled_rebased_without_autoanalysis,1
0x322A73C,SummerWatermelonModel,public void OnUseItem(int id) { },code/Ghidra_native_pseudocode/322a73c.c,0x323CDE4,0x322CDE4,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyFourConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,1
0x322A73C,SummerWatermelonModel,public void OnUseItem(int id) { },code/Ghidra_native_pseudocode/322a73c.c,0x323E1F0,0x322E1F0,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_UnCollectRewards,1,SummerWatermelonModel,"public StorageDictionary<int, int> get_UnCollectRewards() { }",decompiled_rebased_without_autoanalysis,4
0x322A880,SummerWatermelonMergeBoard1,"public TableMergeItem <>iFixBaseProxy_MergeToProductActivity(int P0, TableMergeItem P1, TableMergeItem P2) { }",code/Ghidra_native_pseudocode/322a880.c,0x2BFBE7C,0x2BEBE7C,MergeBoard$$MergeToProductActivity,1,MergeBoard,"public virtual TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",decompiled_rebased_without_autoanalysis,1
0x322A89C,SummerWatermelonMergeBoard1,"public void <>iFixBaseProxy_OnNewItem(int P0, int P1, int P2, int P3, RefreshItemSource P4) { }",code/Ghidra_native_pseudocode/322a89c.c,0x2BF15AC,0x2BE15AC,MergeBoard$$OnNewItem,1,MergeBoard,"public virtual void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",decompiled_rebased_without_autoanalysis,1
0x322A92C,SummerWatermelonMergeBoard2,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/322a92c.c,0x2BD2CF0,0x2BC2CF0,MergeManager$$SetNewBoardItem,1,MergeManager,"public void SetNewBoardItem(int index, int id, int state, RefreshItemSource source, MergeBoardEnum boardId, int oldIndex = -1, bool isDispatchEvent = True, int oldId = -1, int existTime = 0) { }",decompiled_rebased_without_autoanalysis,1
0x322A92C,SummerWatermelonMergeBoard2,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/322a92c.c,0x2BDD790,0x2BCD790,MergeManager$$FindEmptyGrid,1,MergeManager,"public int FindEmptyGrid(int index, MergeBoardEnum boardId, bool ignoreSelf = False) { }",decompiled_rebased_without_autoanalysis,1
0x322A92C,SummerWatermelonMergeBoard2,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/322a92c.c,0x2E651CC,0x2E551CC,Gameplay.UserData$$IsResource,1,UserData,public bool IsResource(int resourceId) { },decompiled_rebased_without_autoanalysis,1
0x322AE1C,SummerWatermelonMergeBoard2,"public override void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",code/Ghidra_native_pseudocode/322ae1c.c,0x2BED744,0x2BDD744,MergeBoard$$IndexToPosition,1,MergeBoard,public Vector3 IndexToPosition(int index) { },decompiled_rebased_without_autoanalysis,1
0x322AF84,SummerWatermelonMergeBoard2,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/322af84.c,0x29A6FA8,0x2996FA8,GameConfigManager$$GetItemConfig,1,GameConfigManager,public TableMergeItem GetItemConfig(int id) { },decompiled_rebased_without_autoanalysis,1
0x322AF84,SummerWatermelonMergeBoard2,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/322af84.c,0x2BF1544,0x2BE1544,MergeBoard$$OnUseItem,1,MergeBoard,"public virtual void OnUseItem(int index, int id) { }",decompiled_rebased_without_autoanalysis,1
