source_file,namespace,type,typedef_index,declaration_with_inheritance_and_interfaces,dumper_block
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_20/SummerWatermelonMergeBoard.cs,Activity.SummerWatermelon_20,SummerWatermelonMergeBoard,4281,public class SummerWatermelonMergeBoard : MergeBoard // TypeDefIndex: 4281,code/Il2CppDumper_type_signatures/04281.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_20/SummerWatermelonMergeBoard_Big.cs,Activity.SummerWatermelon_20,SummerWatermelonMergeBoard_Big,4282,public class SummerWatermelonMergeBoard_Big : MergeBoard // TypeDefIndex: 4282,code/Il2CppDumper_type_signatures/04282.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,4283,private sealed class SummerWatermelonModel.<>c // TypeDefIndex: 4283,code/Il2CppDumper_type_signatures/04283.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass131_0,4284,private sealed class SummerWatermelonModel.<>c__DisplayClass131_0 // TypeDefIndex: 4284,code/Il2CppDumper_type_signatures/04284.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass149_0,4285,private sealed class SummerWatermelonModel.<>c__DisplayClass149_0 // TypeDefIndex: 4285,code/Il2CppDumper_type_signatures/04285.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass149_1,4286,private sealed class SummerWatermelonModel.<>c__DisplayClass149_1 // TypeDefIndex: 4286,code/Il2CppDumper_type_signatures/04286.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass150_0,4287,private sealed class SummerWatermelonModel.<>c__DisplayClass150_0 // TypeDefIndex: 4287,code/Il2CppDumper_type_signatures/04287.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass50_0,4288,private sealed class SummerWatermelonModel.<>c__DisplayClass50_0 // TypeDefIndex: 4288,code/Il2CppDumper_type_signatures/04288.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass50_1,4289,private sealed class SummerWatermelonModel.<>c__DisplayClass50_1 // TypeDefIndex: 4289,code/Il2CppDumper_type_signatures/04289.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass54_0,4290,private sealed class SummerWatermelonModel.<>c__DisplayClass54_0 // TypeDefIndex: 4290,code/Il2CppDumper_type_signatures/04290.txt
