source_file,namespace,type,typedef_index,field_declaration_and_offset
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public static bool InGuideChain; // 0x0
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public const int BOARD_WIDTH = 5;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public const int BOARD_HEIGHT = 5;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public const int BOARD_WIDTH_BIG = 6;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public const int BOARD_HEIGHT_BIG = 8;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,private static SummerWatermelonModel _instance; // 0x4
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,"private Dictionary<int, SummerWatermelonTwentyEightProductConfig> _summerWatermelonProductConfig; // 0x3C"
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,"private Dictionary<int, SummerWatermelonTwentyEightFirstTimeRewardConfig> _summerWatermelonFirstTimeRewardConfig; // 0x40"
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,"private Dictionary<int, SummerWatermelonTwentyEightMergeRewardConfig> _summerWatermelonMergeRewardConfig; // 0x44"
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,"private Dictionary<int, TableMergeItem> _mergeItemDictionary; // 0x48"
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public int UnSetItemsCount; // 0x4C
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public const ulong Offset = 0;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,private bool _isInit; // 0x50
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,private static GameObject _flyItemObj; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,private bool _lastActivityOpenState; // 0x51
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,private bool <ShowIllustratedRedPoint>k__BackingField; // 0x52
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public static string battlePassCoolTimeKey; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,private int _redPointNum; // 0x54
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public static string packageCoolTimeKey; // 0x10
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_28/SummerWatermelonModel.cs,Activity.SummerWatermelon_28,SummerWatermelonModel,5238,public static string newpackageCoolTimeKey; // 0x14
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,5294,public static readonly SummerWatermelonModel.<>c <>9; // 0x0
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,5294,public static Predicate<SummerWatermelonFourteenPackageConfig> <>9__154_0; // 0x4
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass137_0,5295,public BattlePassFourteen config; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass153_0,5296,public SummerWatermelonModel <>4__this; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass153_0,5296,public bool openPopup; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass153_1,5297,public SummerWatermelonFourteenPackageConfig config; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass154_0,5298,public int index; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass154_0,5298,public SummerWatermelonFourteenPackageReward _curGiftBagData; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass154_0,5298,public SummerWatermelonModel <>4__this; // 0x10
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_0,5299,public int maxNum; // 0x8
