typedef_index,image,namespace,type_name,declaration,selection_reason,generated_csharp_file,metadata_block_file,arm64_file,method_count,native_rva_count,ghidra_method_count,generic_native_instantiation_count,generated_csharp_sha256,bounded_method_count
245,TravelTown.Main.dll,MergeEngine.Signal.Inventory,ItemRemovedFromInventorySignal,public class ItemRemovedFromInventorySignal : ItemAmountInventoryBaseSignal,库存流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Inventory/ItemRemovedFromInventorySignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000245.txt,native_arm64/TravelTown.Main/000245_ItemRemovedFromInventorySignal.s,5,5,0,0,b083afd83ff03191328b27a33a224e9b1ef9f7273db32cd1ec88e98059f89938,0
246,TravelTown.Main.dll,MergeEngine.Signal.Inventory,PurchaseInventorySlotSignal,public class PurchaseInventorySlotSignal : InventoryBaseSignal,库存流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Inventory/PurchaseInventorySlotSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000246.txt,native_arm64/TravelTown.Main/000246_PurchaseInventorySlotSignal.s,1,1,0,0,5925030cae620f1afe6fd83a255c4693ad01d2767b67c9cb2b5ac3c1ed0098d5,0
247,TravelTown.Main.dll,MergeEngine.Signal.Inventory,TryRemoveInventoryItemSignal,public class TryRemoveInventoryItemSignal,库存流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Inventory/TryRemoveInventoryItemSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000247.txt,native_arm64/TravelTown.Main/000247_TryRemoveInventoryItemSignal.s,3,3,0,0,2ffebccc39d0123239c6e2259489b5c2a1e1ef178a090cbf390877bfc06bdb2a,0
251,TravelTown.Main.dll,MergeEngine.Signal.Board,BoardFullSignal,public class BoardFullSignal,棋盘流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Board/BoardFullSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000251.txt,native_arm64/TravelTown.Main/000251_BoardFullSignal.s,1,1,0,0,cb61e32737868823afec589bd96f2e0aad1740710d640fd91819d5c93771aad0,0
253,TravelTown.Main.dll,MergeEngine.Signal.Board,BoardSwitchedSignal,public class BoardSwitchedSignal,棋盘流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Board/BoardSwitchedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000253.txt,native_arm64/TravelTown.Main/000253_BoardSwitchedSignal.s,1,1,0,0,baf000bae898a1c24a135a78b75bd0f183cf76682d2f7700fbf619000de8b05d,0
255,TravelTown.Main.dll,MergeEngine.Signal.Board,ConsumeBoardItemSignal,public class ConsumeBoardItemSignal,棋盘流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Board/ConsumeBoardItemSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000255.txt,native_arm64/TravelTown.Main/000255_ConsumeBoardItemSignal.s,5,5,0,0,8524d48385c1b05f7d2fd36efe826801818ee9f0f6fea5b5dae30a50a3d61efa,0
256,TravelTown.Main.dll,MergeEngine.Signal.Board,ConsumeMultipleBoardItemsSignal,public class ConsumeMultipleBoardItemsSignal,棋盘流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Board/ConsumeMultipleBoardItemsSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000256.txt,native_arm64/TravelTown.Main/000256_ConsumeMultipleBoardItemsSignal.s,12,12,0,0,669a557739d8631d0e0c30c9c6fa85387c768bb23f8e768815b41d2034faa216,0
258,TravelTown.Main.dll,MergeEngine.Signal.Board,CreateBoardSignal,public class CreateBoardSignal,棋盘流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Board/CreateBoardSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000258.txt,native_arm64/TravelTown.Main/000258_CreateBoardSignal.s,1,1,0,0,a1c91dc7232fc82dfb0172ff04071a1546cce900390f620d4adc936375ba03d2,0
259,TravelTown.Main.dll,MergeEngine.Signal.Board,DequeueItemSignal,public class DequeueItemSignal,棋盘流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Board/DequeueItemSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000259.txt,native_arm64/TravelTown.Main/000259_DequeueItemSignal.s,3,3,0,0,fa3f88eeb2d5c590562824cc89d9813881b42ae65e6eaf2616cf056c890dd2be,0
260,TravelTown.Main.dll,MergeEngine.Signal.Board,EnqueueBoosterItemSignal,public class EnqueueBoosterItemSignal,棋盘流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Board/EnqueueBoosterItemSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000260.txt,native_arm64/TravelTown.Main/000260_EnqueueBoosterItemSignal.s,10,10,0,0,fd04e82f1e359d94743e8c1004efac5b1a1e72d5103293d14383735207802e78,0
