caller_rva,caller_type_indices,callee_rva,callee_type_index,callee_namespace,callee_type,callee_signature,callee_selected
0x6741A4C,9220,0x664B6F0,8392,Merger.Game.ViewModel.Board,BoardQueueViewModel,public bool get_ShowingTutorial() { },True
0x6741C18,9220,0x67412F0,9220,Merger.Game.Views.Board,BoardQueueView,private bool get_HasItems() { },True
0x6741C18,9220,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6741E00,9220,0x3BC74C4,10424,Framework.Core,Base,Framework.Core.Base$$UnsubscribeFromSignal<object>,True
0x6741E00,9220,0x3BC7514,10424,Framework.Core,Base,Framework.Core.Base$$UnsubscribeFromSignal<object>,True
0x6741F9C,9220,0x5269B3C,8590,Merger.Game.Views,GameViewBase<TViewModel>,Merger.Game.Views.GameViewBase<object>$$get_HasGameStarted,True
0x6741F9C,9220,0x6741750,9220,Merger.Game.Views.Board,BoardQueueView,private void TryDisplayQueuedItem() { },True
0x6741F9C,9220,0x6742330,9220,Merger.Game.Views.Board,BoardQueueView,private bool ShouldSkipGrantAnimation(EnqueueItemAnimationSignal signal) { },True
0x6741F9C,9220,0x67424A8,9220,Merger.Game.Views.Board,BoardQueueView,private void TryEnableQueueView() { },True
0x6741F9C,9220,0x674257C,9220,Merger.Game.Views.Board,BoardQueueView,"private bool ShouldSlide(EnqueueItemAnimationSignal signal, Nullable<RewardDestinationType> destinationType) { }",True
