Caller	CallerRVA	CalleeRVA	Il2CppDumperCalleeName	CalleeSignature	PseudocodeFile
ItemChainManager.ReplaceOldSetIDs	19071BC	2AFAF9C	System.Collections.Generic.List<object>$$get_Item	Il2CppObject* System_Collections_Generic_List_object___get_Item (System_Collections_Generic_List_object__o* __this, int32_t index, const MethodInfo_2AFAF9C* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	2AFB954	System.Collections.Generic.List<object>$$Exists	bool System_Collections_Generic_List_object___Exists (System_Collections_Generic_List_object__o* __this, System_Predicate_T__o* match, const MethodInfo_2AFB954* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	2AFB99C	System.Collections.Generic.List<object>$$Find	Il2CppObject* System_Collections_Generic_List_object___Find (System_Collections_Generic_List_object__o* __this, System_Predicate_T__o* match, const MethodInfo_2AFB99C* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	2AFBF88	System.Collections.Generic.List<object>$$GetEnumerator	System_Collections_Generic_List_Enumerator_T__o System_Collections_Generic_List_object___GetEnumerator (System_Collections_Generic_List_object__o* __this, const MethodInfo_2AFBF88* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	2E41FAC	System.Predicate<object>$$.ctor	void System_Predicate_object____ctor (System_Predicate_object__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_2E41FAC* method);	ghidra_data_pseudocode.c
ItemChainManager.GetArchivedSetIDFromSetID	1908710	19087D0	MergePuzzle.ItemChainManager$$IsItemArchived	bool MergePuzzle_ItemChainManager__IsItemArchived (int32_t setID, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.GetCurrentIDFromSetID	1908918	24225F4	System.Linq.Enumerable$$Count<object>	int32_t System_Linq_Enumerable__Count_object_ (System_Collections_Generic_IEnumerable_TSource__o* source, const MethodInfo_24225F4* method);	ghidra_data_pseudocode.c
ItemChainManager.GetActiveIDFromSetID	1908C40	2AC71F8	System.Collections.Generic.List<int>$$get_Item	int32_t System_Collections_Generic_List_int___get_Item (System_Collections_Generic_List_int__o* __this, int32_t index, const MethodInfo_2AC71F8* method);	ghidra_data_pseudocode.c
ItemChainManager.GetActiveIDFromSetID	1908C40	2AC81EC	System.Collections.Generic.List<int>$$GetEnumerator	System_Collections_Generic_List_Enumerator_T__o System_Collections_Generic_List_int___GetEnumerator (System_Collections_Generic_List_int__o* __this, const MethodInfo_2AC81EC* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByUnlockLevel	19092C0	243441C	System.Linq.Enumerable$$OrderBy<object, int>	System_Linq_IOrderedEnumerable_TSource__o* System_Linq_Enumerable__OrderBy_object__int_ (System_Collections_Generic_IEnumerable_TSource__o* source, System_Func_TSource__TKey__o* keySelector, const MethodInfo_243441C* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByUnlockLevel	19092C0	24534CC	System.Linq.Enumerable$$ToList<object>	System_Collections_Generic_List_TSource__o* System_Linq_Enumerable__ToList_object_ (System_Collections_Generic_IEnumerable_TSource__o* source, const MethodInfo_24534CC* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByUnlockLevel	19092C0	2AFA9F0	System.Collections.Generic.List<object>$$.ctor	void System_Collections_Generic_List_object____ctor (System_Collections_Generic_List_object__o* __this, const MethodInfo_2AFA9F0* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByUnlockLevel	19092C0	2AFB494	System.Collections.Generic.List<object>$$AddRange	void System_Collections_Generic_List_object___AddRange (System_Collections_Generic_List_object__o* __this, System_Collections_Generic_IEnumerable_T__o* collection, const MethodInfo_2AFB494* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByUnlockLevel	19092C0	32E71BC	System.Collections.Generic.Dictionary.ValueCollection<int, object>$$GetEnumerator	System_Collections_Generic_Dictionary_ValueCollection_Enumerator_TKey__TValue__o System_Collections_Generic_Dictionary_ValueCollection_int__object___GetEnumerator (System_Collections_Generic_Dictionary_ValueCollection_TKey__TValue__o* __this, const MethodInfo_32E71BC* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByArchiveLevel	190962C	243441C	System.Linq.Enumerable$$OrderBy<object, int>	System_Linq_IOrderedEnumerable_TSource__o* System_Linq_Enumerable__OrderBy_object__int_ (System_Collections_Generic_IEnumerable_TSource__o* source, System_Func_TSource__TKey__o* keySelector, const MethodInfo_243441C* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByArchiveLevel	190962C	24534CC	System.Linq.Enumerable$$ToList<object>	System_Collections_Generic_List_TSource__o* System_Linq_Enumerable__ToList_object_ (System_Collections_Generic_IEnumerable_TSource__o* source, const MethodInfo_24534CC* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByArchiveLevel	190962C	2455EDC	System.Linq.Enumerable$$Where<object>	System_Collections_Generic_IEnumerable_TSource__o* System_Linq_Enumerable__Where_object_ (System_Collections_Generic_IEnumerable_TSource__o* source, System_Func_TSource__bool__o* predicate, const MethodInfo_2455EDC* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByArchiveLevel	190962C	2AFA9F0	System.Collections.Generic.List<object>$$.ctor	void System_Collections_Generic_List_object____ctor (System_Collections_Generic_List_object__o* __this, const MethodInfo_2AFA9F0* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByArchiveLevel	190962C	2AFB494	System.Collections.Generic.List<object>$$AddRange	void System_Collections_Generic_List_object___AddRange (System_Collections_Generic_List_object__o* __this, System_Collections_Generic_IEnumerable_T__o* collection, const MethodInfo_2AFB494* method);	ghidra_data_pseudocode.c
ItemChainManager.GetAllLinksOrderedByArchiveLevel	190962C	32E71BC	System.Collections.Generic.Dictionary.ValueCollection<int, object>$$GetEnumerator	System_Collections_Generic_Dictionary_ValueCollection_Enumerator_TKey__TValue__o System_Collections_Generic_Dictionary_ValueCollection_int__object___GetEnumerator (System_Collections_Generic_Dictionary_ValueCollection_TKey__TValue__o* __this, const MethodInfo_32E71BC* method);	ghidra_data_pseudocode.c
ItemChainManager.GetArchiveTaskEndTime	1909ABC	18AEE9C	Paxie.DateUtils$$CurrentSecond	int32_t Paxie_DateUtils__CurrentSecond (const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.GetArchiveReward	1909B40	1A1C0C4	MergePuzzle.GameItemReward$$.ctor	void MergePuzzle_GameItemReward___ctor (MergePuzzle_GameItemReward_o* __this, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.GetSpawnerBackupItems	1909CA8	2AFA9F0	System.Collections.Generic.List<object>$$.ctor	void System_Collections_Generic_List_object____ctor (System_Collections_Generic_List_object__o* __this, const MethodInfo_2AFA9F0* method);	ghidra_data_pseudocode.c
ItemChainManager.GetSpawnersToRemoveByArchive	1909D5C	190B578	MergePuzzle.BoardData$$GetBoardItemSetFallback	MergePuzzle_BoardItemSetData_o* MergePuzzle_BoardData__GetBoardItemSetFallback (MergePuzzle_BoardData_o* __this, int32_t setID, bool checkBothGroups, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.GetSpawnersToRemoveByArchive	1909D5C	19F6FD8	Paxie.MathUtils$$PowerOfTwo	int32_t Paxie_MathUtils__PowerOfTwo (int32_t power, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.GetSpawnersToRemoveByArchive	1909D5C	243441C	System.Linq.Enumerable$$OrderBy<object, int>	System_Linq_IOrderedEnumerable_TSource__o* System_Linq_Enumerable__OrderBy_object__int_ (System_Collections_Generic_IEnumerable_TSource__o* source, System_Func_TSource__TKey__o* keySelector, const MethodInfo_243441C* method);	ghidra_data_pseudocode.c
ItemChainManager.GetSpawnersToRemoveByArchive	1909D5C	24349FC	System.Linq.Enumerable$$OrderByDescending<int, int>	System_Linq_IOrderedEnumerable_TSource__o* System_Linq_Enumerable__OrderByDescending_int__int_ (System_Collections_Generic_IEnumerable_TSource__o* source, System_Func_TSource__TKey__o* keySelector, const MethodInfo_24349FC* method);	ghidra_data_pseudocode.c
