type,signature,reason
FAT.Merge.IMergeEnvironment,public abstract MergeFixedItem GetFixedOutputByItemConfig(int itemId);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract MergeRuledOutput GetRuledOutputConfig(int itemId);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract MergeRule GetMergeRuleByItem(int tid);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract MergeGrid GetMergeGridConfig(int tid);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract bool TryGetDropLimitItemConfig(int tid, out DropLimitItem cfg);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract RewardCommitData CollectBonus(int bonusId, int bonusCount);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract RewardCommitData SellItem(int id, int count);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract bool CanUseEnergy(int cost);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract bool UseEnergy(int energy, ReasonString reason);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract void SwitchEnergyBoostState();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract bool IsInEnergyBoost();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract EnergyBoostState GetEnergyBoostState();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract int GetNextLevelItemId(int curItemId, int nextLevel);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract bool CanUseGem(int cost);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract void UseGem(int gem, ReasonString reason, Action whenSuccess, bool dynamicPrice = False);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract bool CanUseCoin(int cost);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract void UseCoin(int coin, ReasonString reason);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract int GetBoardLevel();,Il2CppDumper RVA = -1; no native address
